split	topic	question1	answer1	question2	answer2
train	单链表条件	只知道第几个节点时能否直接常数时间插入？	单链表若只给出位置序号，必须先遍历定位，不能把完整插入过程视为常数时间。	何种条件下单链表修改链接只需常数次操作？	若前驱节点的引用已经给定，且不计内存分配开销，单链表插入节点所需的链接修改次数与表长无关。
train	二分边界	数组未排序还能保证二分查找正确吗？	二分查找要求搜索区间满足单调的判定条件；对未排序数组不能直接保证查找正确。	查找重复值的最左位置时找到一次相等就结束吗？	若目标是最左侧相等元素，相等时仍需向左收缩候选区间，不能把第一次命中直接当作答案。
train	稳定排序条件	按第二关键字排序后如何保留第一轮的次序？	后一轮采用稳定排序时，相同第二关键字的记录会保留排序前的相对次序。	稳定排序是否保证不同关键字记录次序不变？	排序稳定性只约束关键字相等的记录，并不要求不同关键字记录保持原有次序。
train	队列判满约定	循环队列的头尾指针相等就一定为空吗？	只有明确采用相应空满区分约定后，才能解释头尾指针相等的含义；仅凭指针相等无法通用于所有实现。	保留一个空槽的数组队列最多容纳多少元素？	长度为 N 的数组若保留一个空槽用于区分空满，最多存放 N-1 个队列元素。
train	互斥锁范围	只给一个写线程加锁就能保护共享变量吗？	互斥保护要求所有可能冲突的访问遵循同一同步协议；只给其中一个线程加锁不足以排除数据竞争。	线程持有锁时是否仍可能被操作系统切换？	持有普通互斥锁不等于禁止调度，持锁线程仍可能被抢占或阻塞。
train	缺页条件	访问不在物理内存的有效页面是否必然是非法访问？	对有效但尚未驻留的虚拟页面进行访问可以触发缺页异常，这不等同于非法地址访问。	缺页处理后能否继续触发异常的指令？	若缺页被成功处理且访问权限允许，处理程序可以恢复执行并重新尝试触发异常的指令。
train	调度假设	最短作业优先的优势依赖什么信息？	比较最短作业优先的平均等待时间时，需要说明作业到达方式以及是否已知或能够估计运行时间。	调度算法能否只用平均等待时间评价？	调度评价还需考虑响应时间、公平性和饥饿风险，不能仅凭平均等待时间判断所有场景的优劣。
train	文件共享偏移	两次独立打开同一文件一定共享当前偏移吗？	两次独立打开同一路径通常产生独立的打开文件描述，不能仅因路径相同就断定共享文件偏移。	复制文件描述符后为何可能看到共享偏移？	复制得到的文件描述符若指向同一个打开文件描述，其文件偏移可以共享。
dev	尾指针条件	有尾指针就能常数时间删除单链表最后节点吗？	普通单链表即使有尾指针，删除尾节点仍可能需要遍历寻找其前驱。	尾指针对单链表尾部追加有什么帮助？	在维护有效尾指针且不计分配开销时，单链表尾部追加可以避免从头遍历。
dev	条件变量谓词	条件变量被唤醒后为何还要检查条件？	被唤醒不保证共享状态仍满足要求，线程应在持锁状态下循环检查条件谓词。	等待条件变量时是否一直占有互斥锁？	条件变量等待操作通常原子地释放关联互斥锁，返回前再重新获得该锁。
dev	哈希装载条件	哈希表查找一定是常数时间吗？	哈希查找的平均常数时间依赖散列分布和装载情况，严重冲突时可能退化。	扩容为什么可能改善哈希查找？	扩容并重新散列可以降低装载因子，但不能修复所有不良哈希函数带来的集中冲突。
dev	页面共享权限	映射到同一页框的两个映射权限必须相同吗？	不同虚拟映射可以设置不同访问权限，即使它们指向同一物理页框。	权限检查和地址转换是否是同一个概念？	地址转换确定访问目标，权限检查判断该访问是否允许，两者不能混为一谈。
test	字典树	字典树如何表达字符串的公共前缀？	字典树让具有相同前缀的字符串共享从根出发的一段路径，路径上的符号逐步组成前缀。	字典树节点为何可能需要结束标记？	结束标记用于区分某条路径仅是其他字符串的前缀，还是自身也构成一个完整字符串。
test	并查集	并查集的合并操作改变什么？	并查集的合并操作把两个互不相交集合连接为同一集合，并调整代表元关系。	路径压缩怎样影响后续查找？	路径压缩把查找路径上的节点连接到更接近代表元的位置，以减少后续查找经过的层数。
test	跳表	跳表为什么设置多级索引？	跳表利用分层索引跨过多个底层节点，使查找先在稀疏高层推进，再逐层下降定位。	跳表的对数性能是什么性质？	随机化跳表的对数查找性能通常是期望意义上的结果，不意味着每种层级分布都具有同样的最坏情况。
test	布隆过滤器	布隆过滤器报告存在是否能确认元素存在？	布隆过滤器的存在判断可能是假阳性，因此报告可能存在不能直接证明元素确实在集合中。	标准布隆过滤器能否直接清零来删除元素？	标准布隆过滤器的位可能被多个元素共享，直接清零可能破坏其他元素的查询结果。
test	基数排序	基数排序如何利用关键字的位？	基数排序按关键字的各位或分量分轮分配与收集元素，而不是只依赖关键字间的比较。	最低位优先基数排序各轮需要什么性质？	最低位优先基数排序需要各轮分配收集保持稳定性，以保留已经处理的低位顺序。
test	计数排序	计数排序主要记录什么信息？	计数排序统计各关键字出现的次数，并利用计数确定元素在输出中的位置。	关键字取值范围很大时计数排序有什么代价？	计数排序所需辅助空间与关键字取值范围有关，范围远大于元素数量时空间代价可能很高。
test	强连通分量	有向图中的强连通分量满足什么条件？	强连通分量是极大的顶点集合，其中任意两个顶点都存在相互可达的有向路径。	强连通分量缩点后得到什么结构？	把每个强连通分量收缩成单个顶点后得到的分量图是有向无环图。
test	桥边	无向图中的桥如何定义？	无向图中若删除一条边会增加连通分量数，则该边称为桥。	处于一个环上的边可以是桥吗？	处于环上的边存在环内替代路径，删除它不会因此断开该环上的顶点，所以它不是桥。
test	B树	B 树为什么让一个节点容纳多个关键字？	B 树的节点可以容纳多个关键字和多个子分支，从而用较少的树层级组织大量有序数据。	B 树的叶子分布有什么要求？	B 树要求所有叶子位于同一层，插入和删除时通过调整节点维持这种平衡结构。
