split	topic	question1	answer1	question2	answer2
train	顺序表	顺序表怎样支持按下标访问？	顺序表把元素存放在连续存储空间中，可以根据首地址和下标计算元素位置。	顺序表中间插入元素有什么开销？	在顺序表中间插入元素通常需要移动后续元素，最坏时间复杂度为 O(n)。
train	单链表	单链表的节点包含什么？	单链表节点包含数据域和指向后继节点的指针域。	单链表按序号查找的复杂度是多少？	单链表没有随机访问能力，按序号查找一般需要从头遍历，时间复杂度为 O(n)。
train	双链表	双链表怎样访问前驱？	双链表节点保存前驱和后继两个方向的指针，可以直接访问相邻的前驱节点。	双链表比单链表增加了什么成本？	双链表需要额外保存前驱指针，并在插入和删除时维护两个方向的链接。
train	栈	栈的访问规则是什么？	栈遵循后进先出规则，插入和删除都在栈顶进行。	函数调用为什么会使用栈？	函数调用需要保存返回地址和局部状态，嵌套调用的后进先出关系适合用栈管理。
train	循环队列	循环队列怎样利用数组空间？	循环队列通过取模使队首和队尾下标循环移动，复用数组前端空出的空间。	保留一个空位时循环队列如何判满？	在容量为 m 且保留一个空位的约定下，队满条件为 (rear+1)%m==front。
train	二分查找	二分查找要求什么前提？	二分查找要求数据按查找键有序，通常在支持随机访问的顺序存储结构上进行。	二分查找每轮怎样缩小范围？	二分查找比较目标值与中间元素，每轮保留可能包含目标的一半区间。
train	插入排序	直接插入排序怎样处理新元素？	直接插入排序把待排序元素插入已排序前缀中的合适位置，并移动必要的元素。	直接插入排序的最好情况是什么？	输入已经有序时，直接插入排序只需要线性数量的比较，时间复杂度为 O(n)。
train	冒泡排序	冒泡排序怎样交换元素？	冒泡排序比较相邻元素，遇到逆序时交换，使较大元素逐步移向序列末端。	冒泡排序怎样判断提前结束？	若一整趟比较没有发生交换，可以判断序列已有序并提前结束。
train	归并排序	归并排序的主要步骤是什么？	归并排序先递归划分序列，再将有序子序列合并成更长的有序序列。	数组归并排序需要辅助空间吗？	常规数组归并排序需要 O(n) 的辅助空间用于合并，不能把它视为原地排序。
train	快速排序	快速排序怎样划分序列？	快速排序选择枢轴，把序列划分为相对枢轴较小和较大的部分，再递归排序。	快速排序最坏情况复杂度是多少？	若每次划分都极不平衡，快速排序的最坏时间复杂度为 O(n²)。
train	二叉树	二叉树每个节点最多有几个孩子？	二叉树的每个节点最多有两个孩子，左子树与右子树有顺序区别。	二叉树前序遍历的顺序是什么？	二叉树前序遍历依次访问根节点、左子树和右子树。
train	中序遍历	中序遍历按什么顺序访问？	二叉树中序遍历依次访问左子树、根节点和右子树。	中序遍历二叉搜索树得到什么？	满足二叉搜索树有序约束时，其中序遍历按键值非递减顺序输出节点。
train	邻接矩阵	邻接矩阵怎样表示边？	邻接矩阵用二维数组的对应位置表示两个顶点之间是否有边或边的权重。	邻接矩阵的空间复杂度是多少？	具有 n 个顶点的图采用邻接矩阵存储时，需要 O(n²) 空间。
train	邻接表	邻接表怎样表示图？	邻接表为每个顶点保存与它相邻的顶点或边的列表。	邻接表为什么适合稀疏图？	邻接表主要为实际存在的边分配存储，空间复杂度为 O(V+E)，适合边较少的图。
train	广度优先遍历	广度优先遍历采用什么辅助结构？	广度优先遍历通常使用队列，按顶点到起点的层次逐层扩展。	广度优先遍历能解决什么最短路？	在无权图中，广度优先遍历可以找到以边数衡量的最短路径。
train	深度优先遍历	深度优先遍历如何扩展？	深度优先遍历沿一个分支尽可能深入，无法继续时回溯，再探索其他分支。	深度优先遍历怎样保存回溯状态？	深度优先遍历可以利用递归调用栈或显式栈保存尚未完成的搜索状态。
train	进程	进程和程序有什么区别？	程序是静态的指令集合，进程是程序的一次执行及其相关资源和状态。	进程控制块的用途是什么？	进程控制块保存进程标识、运行状态、调度信息和资源信息，供操作系统管理进程。
train	线程	同一进程的线程共享什么？	同一进程内的线程通常共享地址空间和打开的文件等资源，但各自具有栈和寄存器状态。	线程与进程的调度角色是什么？	在支持内核线程的系统中，线程可以作为调度单位，进程主要作为资源拥有单位。
train	上下文切换	上下文切换需要做什么？	上下文切换需要保存当前执行实体的寄存器等状态，并恢复下一个执行实体的状态。	上下文切换有没有额外成本？	上下文切换会消耗处理器时间，并可能影响缓存和地址转换缓存的局部性。
train	临界区	什么是临界区？	临界区是访问共享资源的一段代码，需要通过同步机制避免不受控制的并发访问。	互斥的基本要求是什么？	对同一受保护资源的临界区，应保证同一时刻至多有一个执行实体进入。
train	信号量	计数信号量可以表示什么？	计数信号量可以表示一类可用资源的数量，通过等待和释放操作协调资源使用。	信号量等待操作需要什么性质？	信号量的检查与更新需要保持原子性，不能拆成不受保护的普通读写。
train	死锁	死锁是什么意思？	死锁是多个进程相互等待对方持有的资源，导致这些进程都无法继续推进的状态。	死锁的必要条件有哪些？	死锁的四个必要条件是互斥、占有并等待、不可剥夺和循环等待。
train	分页	分页怎样划分地址空间？	分页将虚拟地址空间划分为固定大小的页，将物理内存划分为同样大小的页框。	分页地址转换保留哪部分？	分页地址转换把虚拟页号映射到物理页框号，页内偏移保持不变。
train	页表	页表的主要作用是什么？	页表记录虚拟页到物理页框的映射，以及有效位和访问权限等控制信息。	页表项无效一定是程序错误吗？	页表项无效可能表示页面尚未装入内存，也可能表示非法访问，需要由操作系统进一步判断。
train	缺页	缺页中断何时发生？	进程访问合法虚拟页而该页当前不在物理内存时，可能触发缺页中断。	缺页处理是否一定需要换出页面？	若存在可用页框，可以直接装入缺失页面；没有可用页框时才可能需要选择页面换出。
train	时间片轮转	时间片轮转如何调度？	时间片轮转让就绪进程依次运行一个时间片，时间片耗尽后未完成进程回到就绪队列末尾。	时间片过小有什么问题？	时间片过小会增加上下文切换频率，从而提高调度开销。
train	文件描述符	文件描述符表示什么？	文件描述符是进程用于引用已打开文件或类似资源的整数标识。	关闭文件描述符是否等于删除文件？	关闭文件描述符释放该进程的打开引用，不等于删除文件的目录项或文件内容。
